"Dato";"Valør";"Tekst";"";"Beløb";"Saldo";"Egen bilagsreference"
"19.08.2024";"19.08.2024";"DK  3257668 108645149650 16.08";"";"3.119,00";"211.693,45";""
"19.08.2024";"19.08.2024";"DK  3257668 422920800000 16.08";"";"1.003,00";"212.696,45";""
"19.08.2024";"19.08.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-9.244,50";"203.451,95";""
"19.08.2024";"19.08.2024";"DK  3257668 108645149850 17.08";"";"1.980,00";"205.431,95";""
"19.08.2024";"19.08.2024";"DK  3257668 108645150050 18.08";"";"2.154,00";"207.585,95";""
"19.08.2024";"19.08.2024";"DK  3257668 423020800000 17.08";"";"362,00";"207.947,95";""
"19.08.2024";"19.08.2024";"DK  3257668 423120800000 18.08";"";"551,00";"208.498,95";""
"19.08.2024";"19.08.2024";"Henri Lee - Inco 8/8";"";"-3.383,01";"205.115,94";""
"19.08.2024";"19.08.2024";"VD 00004 INCO CC GLOSTRUP A/S";"";"-2.443,19";"202.672,75";""
"20.08.2024";"20.08.2024";"Nets 0181 8822884                   -SE MEDD.";"";"1.718,40";"204.391,15";""
"20.08.2024";"20.08.2024";"Nets 0182 8822884                   -SE MEDD.";"";"3.828,65";"208.219,80";""
"21.08.2024";"21.08.2024";"DK  3257668 108645150350 20.08";"";"2.450,00";"210.669,80";""
"21.08.2024";"21.08.2024";"DK  3257668 423320800000 20.08";"";"529,00";"211.198,80";""
"21.08.2024";"21.08.2024";"Nets 0183 8822884                   -SE MEDD.";"";"9.711,49";"220.910,29";""
"22.08.2024";"22.08.2024";"DK  3257668 108645150550 21.08";"";"3.690,00";"224.600,29";""
"22.08.2024";"22.08.2024";"DK  3257668 423420800000 21.08";"";"1.011,00";"225.611,29";""
"22.08.2024";"22.08.2024";"Overførsel                          -SE MEDD.";"";"15.743,60";"241.354,89";""
"22.08.2024";"22.08.2024";"Nets 0184 8822884                   -SE MEDD.";"";"3.257,22";"244.612,11";""
"22.08.2024";"22.08.2024";"VD 00005 INCO CC GLOSTRUP A/S";"";"-2.034,23";"242.577,88";""
"23.08.2024";"23.08.2024";"DK  3257668 108645150750 22.08";"";"3.581,00";"246.158,88";""
"23.08.2024";"23.08.2024";"DK  3257668 423520800000 22.08";"";"712,00";"246.870,88";""
"23.08.2024";"23.08.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-7.972,75";"238.898,13";""
"23.08.2024";"23.08.2024";"Nets 0185 8822884                   -SE MEDD.";"";"3.613,54";"242.511,67";""
"23.08.2024";"23.08.2024";"Mealo: 22130                        -SE MEDD.";"";"26.042,03";"268.553,70";""
"23.08.2024";"23.08.2024";"VD 00006 Elgiganten Taastrup";"";"-7.299,01";"261.254,69";""
"26.08.2024";"26.08.2024";"VD 00007 INCO CC GLOSTRUP A/S";"";"-2.804,60";"258.450,09";""
"26.08.2024";"26.08.2024";"DK  3257668 108645150950 23.08";"";"5.555,00";"264.005,09";""
"26.08.2024";"26.08.2024";"DK  3257668 423620800000 23.08";"";"400,00";"264.405,09";""
"26.08.2024";"26.08.2024";"LS 44733 DERMAN PACK APS";"";"-3.195,00";"261.210,09";""
"26.08.2024";"26.08.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-10.560,25";"250.649,84";""
"26.08.2024";"26.08.2024";"DK  3257668 108645151150 24.08";"";"1.913,00";"252.562,84";""
"26.08.2024";"26.08.2024";"DK  3257668 108645151350 25.08";"";"3.411,00";"255.973,84";""
"27.08.2024";"27.08.2024";"Overførsel                          -SE MEDD.";"";"14.593,45";"270.567,29";""
"27.08.2024";"27.08.2024";"Nets 0186 8822884                   -SE MEDD.";"";"3.043,33";"273.610,62";""
"27.08.2024";"27.08.2024";"Nets 0187 8822884                   -SE MEDD.";"";"4.458,53";"278.069,15";""
"28.08.2024";"28.08.2024";"BS VERISURE A/S";"";"-461,00";"277.608,15";""
"28.08.2024";"28.08.2024";"DK  3257668 108645151650 27.08";"";"4.067,00";"281.675,15";""
"28.08.2024";"28.08.2024";"DK  3257668 424020800000 27.08";"";"632,00";"282.307,15";""
"28.08.2024";"28.08.2024";"Nets 0188 8822884                   -SE MEDD.";"";"5.619,39";"287.926,54";""
"29.08.2024";"29.08.2024";"Wolt Danmark DRIVE";"";"-1.717,50";"286.209,04";""
"29.08.2024";"29.08.2024";"LS 21865 CARLSBERG DANMARK A/S";"";"-37,50";"286.171,54";""
"29.08.2024";"29.08.2024";"DK  3257668 108645151850 28.08";"";"657,00";"286.828,54";""
"29.08.2024";"29.08.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-6.876,50";"279.952,04";""
"29.08.2024";"29.08.2024";"Nets 0189 8822884                   -SE MEDD.";"";"6.750,06";"286.702,10";""
"29.08.2024";"29.08.2024";"VD 00008 INCO CC GLOSTRUP A/S";"";"-2.914,70";"283.787,40";""
"29.08.2024";"29.08.2024";"Løn";"";"-78.532,40";"205.255,00";""
"29.08.2024";"29.08.2024";"Overførsel";"";"-240,10";"205.014,90";""
"30.08.2024";"30.08.2024";"Omkostninger, Netbank og Mobilbank";"";"-6,00";"205.008,90";""
"30.08.2024";"30.08.2024";"DK  3257668 108645152050 29.08";"";"1.628,00";"206.636,90";""
"30.08.2024";"30.08.2024";"DK  3257668 424220800000 29.08";"";"709,50";"207.346,40";""
"30.08.2024";"30.08.2024";"Fra Tania Damsgaard                 -SE MEDD.";"";"250,00";"207.596,40";""
"30.08.2024";"30.08.2024";"Nets 0190 8822884                   -SE MEDD.";"";"2.932,65";"210.529,05";""
"30.08.2024";"30.08.2024";"Mealo: 22335                        -SE MEDD.";"";"25.314,87";"235.843,92";""
"02.09.2024";"02.09.2024";"VD 00009 INCO CC GLOSTRUP A/S";"";"-4.091,83";"231.752,09";""
"02.09.2024";"02.09.2024";"Philipson Wine";"";"-2.649,50";"229.102,59";""
"02.09.2024";"02.09.2024";"BS REMONDIS A/S";"";"-4.492,84";"224.609,75";""
"02.09.2024";"02.09.2024";"BS TELENOR A/S";"";"-291,21";"224.318,54";""
"02.09.2024";"02.09.2024";"BS ONLINEPOS APS";"";"-2.061,25";"222.257,29";""
"02.09.2024";"02.09.2024";"BS NRGI ELHANDEL A/S";"";"-8.967,54";"213.289,75";""
"02.09.2024";"02.09.2024";"BS EJD. 643 TAASTRUP HOVEDGADE 64";"";"-36.389,19";"176.900,56";""
